protA,protB
Q12824,Q969G3
Q12824,Q96GM5
Q12824,Q96KG9
Q86X55,Q8TAQ2
Q86X55,Q92922
Q86X55,Q969G3
Q86X55,Q96GM5
Q86X55,Q96KG9
Q8TAQ2,Q92922
Q8TAQ2,Q969G3
Q8TAQ2,Q96GM5
Q8TAQ2,Q96KG9
Q92922,Q969G3
Q92922,Q96GM5
Q92922,Q96KG9
Q969G3,Q96GM5
Q969G3,Q96KG9
Q96GM5,Q96KG9
P52948,P55735
P52948,P57740
P52948,Q12769
P52948,Q8NFH3
P52948,Q8NFH4
P52948,Q8WUM0
P52948,Q96EE3
P52948,Q9BW27
P55735,P57740
P55735,Q12769
P55735,Q8NFH3
P55735,Q8NFH4
P55735,Q8WUM0
P55735,Q96EE3
P55735,Q9BW27
P57740,Q12769
P57740,Q8NFH3
P57740,Q8NFH4
P57740,Q8WUM0
P57740,Q96EE3
P57740,Q9BW27
Q12769,Q8NFH3
Q12769,Q8NFH4
Q12769,Q8WUM0
Q12769,Q96EE3
Q12769,Q9BW27
Q8NFH3,Q8NFH4
Q8NFH3,Q8WUM0
Q8NFH3,Q96EE3
Q8NFH3,Q9BW27
Q8NFH4,Q8WUM0
Q8NFH4,Q96EE3
Q8NFH4,Q9BW27
Q8WUM0,Q96EE3
Q8WUM0,Q9BW27
Q96EE3,Q9BW27
O00471,O60645
O00471,Q8IYI6
O00471,Q8TAG9
O00471,Q96A65
O00471,Q96KP1
O00471,Q9NV70
O00471,Q9UPT5
O60645,Q8IYI6
O60645,Q8TAG9
O60645,Q96A65
O60645,Q96KP1
O60645,Q9NV70
O60645,Q9UPT5
Q8IYI6,Q8TAG9
Q8IYI6,Q96A65
Q8IYI6,Q96KP1
Q8IYI6,Q9NV70
Q8IYI6,Q9UPT5
Q8TAG9,Q96A65
Q8TAG9,Q96KP1
Q8TAG9,Q9NV70
Q8TAG9,Q9UPT5
Q96A65,Q96KP1
Q96A65,Q9NV70
Q96A65,Q9UPT5
Q96KP1,Q9NV70
Q96KP1,Q9UPT5
Q9NV70,Q9UPT5
O15287,O15360
O15287,Q00597
O15287,Q9NPI8
O15360,Q00597
O15360,Q9NPI8
Q00597,Q9NPI8
P10747,P19338
P30260,Q13042
P30260,Q9H1A4
P30260,Q9UJX2
P30260,Q9UJX3
P30260,Q9UJX4
P30260,Q9UJX5
P30260,Q9UJX6
Q13042,Q9H1A4
Q13042,Q9UJX2
Q13042,Q9UJX3
Q13042,Q9UJX4
Q13042,Q9UJX5
Q13042,Q9UJX6
Q9H1A4,Q9UJX2
Q9H1A4,Q9UJX3
Q9H1A4,Q9UJX4
Q9H1A4,Q9UJX5
Q9H1A4,Q9UJX6
Q9UJX2,Q9UJX3
Q9UJX2,Q9UJX4
Q9UJX2,Q9UJX5
Q9UJX2,Q9UJX6
Q9UJX3,Q9UJX4
Q9UJX3,Q9UJX5
Q9UJX3,Q9UJX6
Q9UJX4,Q9UJX5
Q9UJX4,Q9UJX6
Q9UJX5,Q9UJX6
O60264,Q9NRL2
P12956,P13010
P12956,Q9BXJ9
P13010,Q9BXJ9
P30260,Q9UM13
Q13042,Q9UM13
Q9H1A4,Q9UM13
Q9UJX2,Q9UM13
Q9UJX3,Q9UM13
Q9UJX4,Q9UM13
Q9UJX5,Q9UM13
Q9UJX6,Q9UM13
P04637,Q00987
P04637,Q09472
Q00987,Q09472
P28370,Q09028
P28370,Q12830
P28370,Q16576
Q09028,Q12830
Q12830,Q16576
O15514,P13984
O15514,P18074
O15514,P19387
O15514,P19388
O15514,P19447
O15514,P20226
O15514,P24928
O15514,P29083
O15514,P29084
O15514,P30876
O15514,P32780
O15514,P35269
O15514,P36954
O15514,P52434
O15514,P52435
O15514,P53803
O15514,P61218
O15514,P62487
O15514,P62875
O15514,Q00403
O15514,Q13888
O15514,Q13889
O15514,Q92759
P13984,P18074
P13984,P19387
P13984,P19388
P13984,P19447
P13984,P20226
P13984,P24928
P13984,P29083
P13984,P29084
P13984,P30876
P13984,P32780
P13984,P35269
P13984,P36954
P13984,P52434
P13984,P52435
P13984,P53803
P13984,P61218
P13984,P62487
P13984,P62875
P13984,Q00403
P13984,Q13888
P13984,Q13889
P13984,Q92759
P18074,P19387
P18074,P19388
P18074,P19447
P18074,P20226
P18074,P24928
P18074,P29083
P18074,P29084
P18074,P30876
P18074,P32780
P18074,P35269
P18074,P36954
P18074,P52434
P18074,P52435
P18074,P53803
P18074,P61218
P18074,P62487
P18074,P62875
P18074,Q00403
P18074,Q13888
P18074,Q13889
P18074,Q92759
P19387,P19388
P19387,P19447
P19387,P20226
P19387,P24928
P19387,P29083
P19387,P29084
P19387,P30876
P19387,P32780
P19387,P35269
P19387,P36954
P19387,P52434
P19387,P52435
P19387,P53803
P19387,P61218
P19387,P62487
P19387,P62875
P19387,Q00403
P19387,Q13888
P19387,Q13889
P19387,Q92759
P19388,P19447
P19388,P20226
P19388,P24928
P19388,P29083
P19388,P29084
P19388,P30876
P19388,P32780
P19388,P35269
P19388,P36954
P19388,P52434
P19388,P52435
P19388,P53803
P19388,P61218
P19388,P62487
P19388,P62875
P19388,Q00403
P19388,Q13888
P19388,Q13889
P19388,Q92759
P19447,P20226
P19447,P24928
P19447,P29083
P19447,P29084
P19447,P30876
P19447,P32780
P19447,P35269
P19447,P36954
P19447,P52434
P19447,P52435
P19447,P53803
P19447,P61218
P19447,P62487
P19447,P62875
P19447,Q00403
P19447,Q13888
P19447,Q13889
P19447,Q92759
P20226,P24928
P20226,P29083
P20226,P29084
P20226,P30876
P20226,P32780
P20226,P35269
P20226,P36954
P20226,P52434
P20226,P52435
P20226,P53803
P20226,P61218
P20226,P62487
P20226,P62875
P20226,Q00403
P20226,Q13888
P20226,Q13889
P20226,Q92759
P24928,P29083
P24928,P29084
P24928,P30876
P24928,P32780
P24928,P35269
P24928,P36954
P24928,P52434
P24928,P52435
P24928,P53803
P24928,P61218
P24928,P62487
P24928,P62875
P24928,Q00403
P24928,Q13888
P24928,Q13889
P24928,Q92759
P29083,P29084
P29083,P30876
P29083,P32780
P29083,P35269
P29083,P36954
P29083,P52434
P29083,P52435
P29083,P53803
P29083,P61218
P29083,P62487
P29083,P62875
P29083,Q00403
P29083,Q13888
P29083,Q13889
P29083,Q92759
P29084,P30876
P29084,P32780
P29084,P35269
P29084,P36954
P29084,P52434
P29084,P52435
P29084,P53803
P29084,P61218
P29084,P62487
P29084,P62875
P29084,Q00403
P29084,Q13888
P29084,Q13889
P29084,Q92759
P30876,P32780
P30876,P35269
P30876,P36954
P30876,P52434
P30876,P52435
P30876,P53803
P30876,P61218
P30876,P62487
P30876,P62875
P30876,Q00403
P30876,Q13888
P30876,Q13889
P30876,Q92759
P32780,P35269
P32780,P36954
P32780,P52434
P32780,P52435
P32780,P53803
P32780,P61218
P32780,P62487
P32780,P62875
P32780,Q00403
P32780,Q13888
P32780,Q13889
P32780,Q92759
P35269,P36954
P35269,P52434
P35269,P52435
P35269,P53803
P35269,P61218
P35269,P62487
P35269,P62875
P35269,Q00403
P35269,Q13888
P35269,Q13889
P35269,Q92759
P36954,P52434
P36954,P52435
P36954,P53803
P36954,P61218
P36954,P62487
P36954,P62875
P36954,Q00403
P36954,Q13888
P36954,Q13889
P36954,Q92759
P52434,P52435
P52434,P53803
P52434,P61218
P52434,P62487
P52434,P62875
P52434,Q00403
P52434,Q13888
P52434,Q13889
P52434,Q92759
P52435,P53803
P52435,P61218
P52435,P62487
P52435,P62875
P52435,Q00403
P52435,Q13888
P52435,Q13889
P52435,Q92759
P53803,P61218
P53803,P62487
P53803,P62875
P53803,Q00403
P53803,Q13888
P53803,Q13889
P53803,Q92759
P61218,P62487
P61218,P62875
P61218,Q00403
P61218,Q13888
P61218,Q13889
P61218,Q92759
P62487,P62875
P62487,Q00403
P62487,Q13888
P62487,Q13889
P62487,Q92759
P62875,Q00403
P62875,Q13888
P62875,Q13889
P62875,Q92759
Q00403,Q13888
Q00403,Q13889
Q00403,Q92759
Q13888,Q13889
Q13888,Q92759
Q13889,Q92759
O75530,Q09028
O75530,Q15022
O75530,Q15910
O75530,Q16576
Q09028,Q15022
Q09028,Q15910
Q15022,Q15910
Q15022,Q16576
Q15910,Q16576
P18074,P50613
P18074,P51946
P18074,P51948
P19447,P50613
P19447,P51946
P19447,P51948
P32780,P50613
P32780,P51946
P32780,P51948
P50613,P51946
P50613,P51948
P50613,Q13888
P50613,Q13889
P50613,Q92759
P51946,P51948
P51946,Q13888
P51946,Q13889
P51946,Q92759
P51948,Q13888
P51948,Q13889
P51948,Q92759
O75971,Q13487
O75971,Q16533
O75971,Q5SXM2
O75971,Q92966
Q13487,Q16533
Q13487,Q5SXM2
Q13487,Q92966
Q16533,Q5SXM2
Q16533,Q92966
Q5SXM2,Q92966
O00257,O60264
O00257,P0DMV8
O00257,P35226
O00257,P78364
O00257,Q06587
O00257,Q14781
O00257,Q8IXK0
O00257,Q8NDX5
O00257,Q96GD3
O00257,Q99496
O00257,Q9HC52
O60264,P0DMV8
O60264,P35226
O60264,P78364
O60264,Q06587
O60264,Q14781
O60264,Q8IXK0
O60264,Q8NDX5
O60264,Q96GD3
O60264,Q99496
O60264,Q9HC52
P0DMV8,P35226
P0DMV8,P78364
P0DMV8,Q06587
P0DMV8,Q14781
P0DMV8,Q8IXK0
P0DMV8,Q8NDX5
P0DMV8,Q96GD3
P0DMV8,Q99496
P0DMV8,Q9HC52
P35226,P78364
P35226,Q06587
P35226,Q14781
P35226,Q8IXK0
P35226,Q8NDX5
P35226,Q96GD3
P35226,Q99496
P35226,Q9HC52
P78364,Q06587
P78364,Q14781
P78364,Q8IXK0
P78364,Q8NDX5
P78364,Q96GD3
P78364,Q99496
P78364,Q9HC52
Q06587,Q14781
Q06587,Q8IXK0
Q06587,Q8NDX5
Q06587,Q96GD3
Q06587,Q99496
Q06587,Q9HC52
Q14781,Q8IXK0
Q14781,Q8NDX5
Q14781,Q96GD3
Q14781,Q99496
Q14781,Q9HC52
Q8IXK0,Q8NDX5
Q8IXK0,Q96GD3
Q8IXK0,Q99496
Q8IXK0,Q9HC52
Q8NDX5,Q96GD3
Q8NDX5,Q99496
Q8NDX5,Q9HC52
Q96GD3,Q99496
Q96GD3,Q9HC52
Q99496,Q9HC52
O00257,P25490
O60264,P25490
P0DMV8,P25490
P25490,P35226
P25490,P78364
P25490,Q06587
P25490,Q14781
P25490,Q8IXK0
P25490,Q8NDX5
P25490,Q96GD3
P25490,Q99496
P25490,Q9HC52
P29992,P50148
P29992,P60033
P29992,P62873
P29992,Q9Y653
P50148,P60033
P50148,P62873
P50148,Q9Y653
P60033,P62873
P60033,Q9Y653
P62873,Q9Y653
P37287,Q14442
P37287,Q92535
P37287,Q9BRB3
Q14442,Q92535
Q14442,Q9BRB3
Q92535,Q9BRB3
P01374,P36941
P01374,Q06643
P36941,Q06643
O75817,O75818
O75817,O95059
O75817,O95707
O75817,P78345
O75817,P78346
O75817,Q969H6
O75817,Q99575
O75817,Q9BUL9
O75817,Q9H633
O75818,O95059
O75818,O95707
O75818,P78345
O75818,P78346
O75818,Q969H6
O75818,Q99575
O75818,Q9BUL9
O75818,Q9H633
O95059,O95707
O95059,P78345
O95059,P78346
O95059,Q969H6
O95059,Q99575
O95059,Q9BUL9
O95059,Q9H633
O95707,P78345
O95707,P78346
O95707,Q969H6
O95707,Q99575
O95707,Q9BUL9
O95707,Q9H633
P78345,P78346
P78345,Q969H6
P78345,Q99575
P78345,Q9BUL9
P78345,Q9H633
P78346,Q969H6
P78346,Q99575
P78346,Q9BUL9
P78346,Q9H633
Q969H6,Q99575
Q969H6,Q9BUL9
Q969H6,Q9H633
Q99575,Q9BUL9
Q99575,Q9H633
Q9BUL9,Q9H633
P17987,P40227
P17987,P48643
P17987,P49368
P17987,P50990
P17987,P50991
P17987,P78371
P17987,Q99832
P40227,P48643
P40227,P49368
P40227,P50990
P40227,P50991
P40227,P78371
P40227,Q99832
P48643,P49368
P48643,P50990
P48643,P50991
P48643,P78371
P48643,Q99832
P49368,P50990
P49368,P50991
P49368,P78371
P49368,Q99832
P50990,P50991
P50990,P78371
P50990,Q99832
P50991,P78371
P50991,Q99832
P78371,Q99832
O14777,Q8NBT2
O14777,Q9BZD4
O14777,Q9HBM1
Q8NBT2,Q9BZD4
Q8NBT2,Q9HBM1
Q9BZD4,Q9HBM1
P42575,P78560
P42575,Q9HB75
P78560,Q9HB75
P54274,Q15554
P54274,Q96AP0
P54274,Q9BSI4
P54274,Q9NUX5
P54274,Q9NYB0
Q15554,Q96AP0
Q15554,Q9BSI4
Q15554,Q9NUX5
Q15554,Q9NYB0
Q96AP0,Q9BSI4
Q96AP0,Q9NUX5
Q96AP0,Q9NYB0
Q9BSI4,Q9NUX5
Q9BSI4,Q9NYB0
